profile,K,method,S_mean_width,W_exact_max,W_mc_mean,max_violation
nodrift,1,uniform,2.8790629418769123,0.15000000000000002,0.149722,0.0
nodrift,1,exact_gaussian_opt,2.8790629418769123,0.15000000000000002,0.14967025,0.0
nodrift,3,uniform,3.8742222203462733,0.15000000000000002,0.1502263888888889,0.0
nodrift,3,exact_gaussian_opt,3.8742222203462733,0.15000000000000002,0.15029055555555557,0.0
nodrift,5,uniform,4.289290661619761,0.15000000000000002,0.1496978125,0.0
nodrift,5,exact_gaussian_opt,4.289290661619761,0.15000000000000002,0.15051125,0.0
nodrift,7,uniform,4.548546937032091,0.15000000000000002,0.1499925,0.0
nodrift,7,exact_gaussian_opt,4.548546937032091,0.15000000000000002,0.1509032142857143,0.0
nodrift,9,uniform,4.735542513254838,0.15000000000000002,0.15028875,0.0
nodrift,9,exact_gaussian_opt,4.735542513254838,0.15000000000000002,0.14944875,0.0
nodrift,20,uniform,5.296328433144817,0.1499999999999999,0.14953,0.0
nodrift,20,exact_gaussian_opt,5.296328433144817,0.1499999999999999,0.15046,0.0
drift,1,uniform,3.742781824439986,0.15000000000000002,0.14980325,0.0
drift,1,exact_gaussian_opt,3.742781824439986,0.15000000000000002,0.149863,0.0
drift,3,uniform,5.036488886450156,0.15000000000000002,0.1504688888888889,0.0
drift,3,exact_gaussian_opt,5.032939722457181,0.1500000000000139,0.15029583333333332,1.6292522886374172e-14
drift,5,uniform,5.5760778601056895,0.15000000000000002,0.149970625,0.0
drift,5,exact_gaussian_opt,5.572322470313203,0.1499999999999625,0.1496875,0.0
drift,7,uniform,5.91311101814172,0.15000000000000002,0.14998214285714287,0.0
drift,7,exact_gaussian_opt,5.899334585808347,0.15000000000001334,0.15002892857142858,1.5737411374061594e-14
drift,9,uniform,6.156205267231288,0.15000000000000002,0.14990416666666667,0.0
drift,9,exact_gaussian_opt,6.133599855325239,0.15000000000053493,0.15065333333333333,6.2932992150877e-13
drift,20,uniform,6.88522696308826,0.1499999999999999,0.15082,0.0
drift,20,exact_gaussian_opt,6.831780356716632,0.1499999999945706,0.150795,0.0
